Occurrences	Code
3264	NPU28651
3264	NPU28650
3261	NPU16113
3243	NPU19961
3228	NPU12989
3220	NPU04227
3214	NPU28666
3213	NPU29371
3213	NPU16250
3212	NPU10213
3207	NPU28665
3207	NPU03616
3199	NPU28664
3199	NPU28306
3198	NPU28663
3197	NPU28668
3195	NPU03932
3190	NPU08048
3189	NPU13194
3181	NPU28479
3181	NPU28478
3181	NPU27827
3181	NPU27826
3177	NPU28659
3177	NPU28658
3177	NPU28647
3177	NPU28646
3177	NPU28623
3177	NPU28622
3177	NPU28621
3177	NPU28206
3176	NPU28207
3174	NPU59149
3171	NPU28667
3160	NPU08592
3157	NPU02614
3153	NPU08685
3149	NPU02615
3148	NPU17095
3148	NPU01534
3134	NPU14455
3131	NPU14454
3130	NPU14453
3121	NPU54789
3121	NPU17092
3119	NPU28798
3119	NPU28796
3119	NPU28795
3119	NPU28793
3119	NPU28792
3119	NPU28791
3099	NPU17885
3094	NPU29061
3093	NPU12412
3090	NPU59809
3085	NPU11124
3080	NPU28690
3071	NPU19949
3055	NPU28189
3054	NPU28182
3052	NPU29548
3052	NPU29486
3052	NPU28655
3051	NPU53984
3051	NPU28185
3049	NPU28184
3047	NPU28656
3047	NPU28186
3043	NPU62360
3043	NPU28905
3043	NPU28193
3042	NPU28187
3041	NPU19890
3039	NPU28188
3037	NPU04701
3036	NPU14526
3035	NPU29549
3035	NPU28183
3033	NPU29551
3032	NPU28195
3029	NPU19897
3025	NPU28194
3022	NPU04248
3019	NPU28405
3019	NPU28190
3018	NPU53090
3018	NPU29093
3013	NPU28192
3006	NPU08955
3004	NPU12582
2995	NPU10128
2988	NPU53026
2987	NPU12275
2986	NPU28694
2986	NPU28191
2984	NPU29356
2981	NPU28947
2953	NPU08655
2950	NPU18640
2943	NPU02503
2939	NPU10032
2938	NPU01226
2937	NPU03210
2937	NPU02642
2936	NPU04610
2936	NPU04159
2931	NPU08959
2930	NPU18769
2893	NPU08672
2881	NPU59811
2880	NPU54727
2879	NPU01618
2840	NPU12241
2821	NPU26733
2818	NPU29718
2814	NPU10825
2796	NPU14547
2795	NPU12728
2788	NPU26734
2784	NPU28928
2776	NPU28404
2765	NPU14275
2752	NPU29696
2750	NPU27845
2744	NPU01667
2741	NPU28317
2739	NPU27331
2736	NPU28218
2735	NPU28173
2733	NPU28202
2733	NPU27649
2724	NPU13046
2721	NPU28281
2692	NPU12647
2675	NPU13060
2674	NPU13669
2674	NPU13668
2672	NPU21532
2672	NPU14572
2672	NPU13667
2661	NPU58255
2639	NPU08047
2625	NPU21820
2622	NPU14322
2606	NPU27833
2606	NPU27832
2606	NPU27831
2606	NPU27830
2606	NPU12542
2601	NPU29778
2600	NPU03247
2596	NPU27332
